observações,y - despesas com alimentação,x - renda
1,"52,25","258,3"
2,"58,32","343,1"
3,"81,79",425
4,"119,9","467,5"
5,"125,8","482,9"
6,"100,46","487,7"
7,"121,51","496,5"
8,"100,08","519,4"
9,"127,75","543,3"
10,"104,94","548,7"
11,"107,48","564,6"
12,"98,48","588,3"
13,"181,21","591,3"
14,"122,23","607,3"
15,"129,57","611,2"
16,"92,84",631
17,"117,92","659,6"
18,"82,13",664
19,"182,28","704,2"
20,"139,13","704,8"
21,"98,14","719,8"
22,"123,94",720
23,"126,31","722,3"
24,"146,47","722,3"
25,"115,98","734,4"
26,"207,23","742,5"
27,"119,8","747,7"
28,"151,33","763,3"
29,"169,51","810,2"
30,"108,03","818,5"
31,"168,9","825,6"
32,"227,11","833,3"
33,"84,94",834
34,"98,7","918,1"
35,"141,06","918,1"
36,"215,4","929,6"
37,"112,89","951,7"
38,"166,25",1014
39,"115,43","1141,3"
40,"269,03","1154,6"